tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
KUJAWSKO-POMORSKIE;nakielski;Kcynia;Kcynia;;4206.0
KUJAWSKO-POMORSKIE;nakielski;Mrocza;Mrocza;;4072.0
KUJAWSKO-POMORSKIE;nakielski;Nakło nad Notecią;Nakło nad Notecią;;16848.0
KUJAWSKO-POMORSKIE;nakielski;Sadki;Sadki;;
KUJAWSKO-POMORSKIE;nakielski;Szubin;Szubin;;9348.0
KUJAWSKO-POMORSKIE;radziejowski;Bytoń;Bytoń;;
KUJAWSKO-POMORSKIE;radziejowski;Dobre;Dobre;;
KUJAWSKO-POMORSKIE;radziejowski;Osięciny;Osięciny;;
KUJAWSKO-POMORSKIE;radziejowski;Piotrków Kujawski;Piotrków Kujawski;;4147.0
KUJAWSKO-POMORSKIE;radziejowski;Radziejów;Radziejów;;4983.0
KUJAWSKO-POMORSKIE;radziejowski;Topólka;Topólka;;
KUJAWSKO-POMORSKIE;rypiński;Brzuze;Brzuze;;
KUJAWSKO-POMORSKIE;rypiński;Rogowo;Rogowo;;
KUJAWSKO-POMORSKIE;rypiński;Rypin;Rypin;;15215.0
KUJAWSKO-POMORSKIE;rypiński;Skrwilno;Skrwilno;;
KUJAWSKO-POMORSKIE;rypiński;Wąpielsk;Wąpielsk;;
KUJAWSKO-POMORSKIE;sępoleński;Kamień Krajeński;Kamień Krajeński;;2312.0
KUJAWSKO-POMORSKIE;sępoleński;Sośno;Sośno;;
KUJAWSKO-POMORSKIE;sępoleński;Sępólno Krajeńskie;Sępólno Krajeńskie;;8663.0
KUJAWSKO-POMORSKIE;sępoleński;Więcbork;Więcbork;;5598.0
KUJAWSKO-POMORSKIE;toruński;Chełmża;Chełmża;;13536.0
KUJAWSKO-POMORSKIE;toruński;Czernikowo;Czernikowo;;
KUJAWSKO-POMORSKIE;toruński;Obrowo;Obrowo;;
KUJAWSKO-POMORSKIE;toruński;Wielka Nieszawka;Wielka Nieszawka;;
KUJAWSKO-POMORSKIE;toruński;Zławieś Wielka;Zławieś Wielka;;
KUJAWSKO-POMORSKIE;toruński;Łubianka;Łubianka;;
KUJAWSKO-POMORSKIE;toruński;Łysomice;Łysomice;;
KUJAWSKO-POMORSKIE;tucholski;Cekcyn;Cekcyn;;
KUJAWSKO-POMORSKIE;tucholski;Gostycyn;Gostycyn;;
KUJAWSKO-POMORSKIE;tucholski;Kęsowo;Kęsowo;;
KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Lubiewo;;
KUJAWSKO-POMORSKIE;tucholski;Tuchola;Tuchola;;12843.0
KUJAWSKO-POMORSKIE;tucholski;Śliwice;Śliwice;;
KUJAWSKO-POMORSKIE;wąbrzeski;Dębowa Łąka;Dębowa Łąka;;
KUJAWSKO-POMORSKIE;wąbrzeski;Książki;Książki;;
KUJAWSKO-POMORSKIE;wąbrzeski;Płużnica;Płużnica;;
KUJAWSKO-POMORSKIE;wąbrzeski;Ryńsk;Ryńsk;;
KUJAWSKO-POMORSKIE;wąbrzeski;Wąbrzeźno;Wąbrzeźno;;12755.0
KUJAWSKO-POMORSKIE;włocławski;Baruchowo;Baruchowo;;
KUJAWSKO-POMORSKIE;włocławski;Boniewo;Boniewo;;
KUJAWSKO-POMORSKIE;włocławski;Boniewo;Boniewo;;
KUJAWSKO-POMORSKIE;włocławski;Brześć Kujawski;Brześć Kujawski;;4513.0
KUJAWSKO-POMORSKIE;włocławski;Choceń;Choceń;;
KUJAWSKO-POMORSKIE;włocławski;Chodecz;Chodecz;;1676.0
KUJAWSKO-POMORSKIE;włocławski;Fabianki;Fabianki;;
KUJAWSKO-POMORSKIE;włocławski;Izbica Kujawska;Izbica Kujawska;;2412.0
KUJAWSKO-POMORSKIE;włocławski;Kowal;Kowal;;3245.0
KUJAWSKO-POMORSKIE;włocławski;Lubanie;Lubanie;;
KUJAWSKO-POMORSKIE;włocławski;Lubień Kujawski;Lubień Kujawski;;1292.0
KUJAWSKO-POMORSKIE;włocławski;Lubraniec;Lubraniec;;2618.0
KUJAWSKO-POMORSKIE;świecki;Bukowiec;Bukowiec;;
KUJAWSKO-POMORSKIE;świecki;Dragacz;Dragacz;;
KUJAWSKO-POMORSKIE;świecki;Drzycim;Drzycim;;
KUJAWSKO-POMORSKIE;świecki;Jeżewo;Jeżewo;;
KUJAWSKO-POMORSKIE;świecki;Lniano;Lniano;;
KUJAWSKO-POMORSKIE;świecki;Nowe;Nowe;;5364.0
KUJAWSKO-POMORSKIE;świecki;Nowe;Nowe;;5364.0
KUJAWSKO-POMORSKIE;świecki;Osie;Osie;;
KUJAWSKO-POMORSKIE;świecki;Pruszcz;Pruszcz;;2811.0
KUJAWSKO-POMORSKIE;świecki;Warlubie;Warlubie;;
KUJAWSKO-POMORSKIE;świecki;Warlubie;Warlubie;;
KUJAWSKO-POMORSKIE;świecki;Świecie;Świecie;;24743.0
KUJAWSKO-POMORSKIE;świecki;Świekatowo;Świekatowo;;
KUJAWSKO-POMORSKIE;żniński;Barcin;Barcin;;6824.0
KUJAWSKO-POMORSKIE;żniński;Gąsawa;Gąsawa;;1413.0
KUJAWSKO-POMORSKIE;żniński;Janowiec Wielkopolski;Janowiec Wielkopolski;;3618.0
KUJAWSKO-POMORSKIE;żniński;Rogowo;Rogowo;;
KUJAWSKO-POMORSKIE;żniński;Łabiszyn;Łabiszyn;;4300.0
KUJAWSKO-POMORSKIE;żniński;Żnin;Żnin;;12831.0
LUBELSKIE;Biała Podlaska;Biała Podlaska;Biała Podlaska;;53888.0
LUBELSKIE;Chełm;Chełm;Chełm;;56434.0
LUBELSKIE;Lublin;Lublin;Lublin;;328305.0
LUBELSKIE;Zamość;Zamość;Zamość;;57516.0
LUBELSKIE;bialski;Drelów;Drelów;;
LUBELSKIE;bialski;Janów Podlaski;Janów Podlaski;;
LUBELSKIE;bialski;Kodeń;Kodeń;;
LUBELSKIE;bialski;Konstantynów;Konstantynów;;
LUBELSKIE;bialski;Leśna Podlaska;Leśna Podlaska;;
LUBELSKIE;bialski;Międzyrzec Podlaski;Międzyrzec Podlaski;;15230.0
LUBELSKIE;bialski;Piszczac;Piszczac;;2073.0
LUBELSKIE;bialski;Rokitno;Rokitno;;
LUBELSKIE;bialski;Rossosz;Rossosz;;
LUBELSKIE;bialski;Sosnówka;Sosnówka;;
LUBELSKIE;bialski;Sławatycze;Sławatycze;;
LUBELSKIE;bialski;Terespol;Terespol;;5054.0
LUBELSKIE;bialski;Tuczna;Tuczna;;
LUBELSKIE;bialski;Wisznice;Wisznice;;
LUBELSKIE;bialski;Zalesie;Zalesie;;
LUBELSKIE;bialski;Łomazy;Łomazy;;
LUBELSKIE;biłgorajski;Aleksandrów;Aleksandrów;;
LUBELSKIE;biłgorajski;Biszcza;Biszcza;;
LUBELSKIE;biłgorajski;Biłgoraj;Biłgoraj;;24543.0
LUBELSKIE;biłgorajski;Frampol;Frampol;;1320.0
LUBELSKIE;biłgorajski;Goraj;Goraj;;884.0
LUBELSKIE;biłgorajski;Józefów;Józefów;;2286.0
LUBELSKIE;biłgorajski;Księżpol;Księżpol;;
LUBELSKIE;biłgorajski;Obsza;Obsza;;
LUBELSKIE;biłgorajski;Potok Górny;Potok Górny;;
LUBELSKIE;biłgorajski;Tarnogród;Tarnogród;;3080.0
LUBELSKIE;biłgorajski;Turobin;Turobin;;797.0
LUBELSKIE;biłgorajski;Łukowa;Łukowa;;
LUBELSKIE;chełmski;Białopole;Białopole;;
LUBELSKIE;chełmski;Dorohusk;Dorohusk;;
LUBELSKIE;chełmski;Dubienka;Dubienka;;
LUBELSKIE;chełmski;Kamień;Kamień;;
LUBELSKIE;chełmski;Leśniowice;Leśniowice;;
LUBELSKIE;chełmski;Rejowiec;Rejowiec;;2041.0
LUBELSKIE;chełmski;Rejowiec Fabryczny;Rejowiec Fabryczny;;3963.0
LUBELSKIE;chełmski;Ruda-Huta;Ruda-Huta;;
LUBELSKIE;chełmski;Sawin;Sawin;;
